,level_0,index,License Number,Blood Group,Citizenship Number,Electricity Bill ID,SC Number,votersID,Age,Spouse Name,PAN Number,Customer Code,National Id,Mother Name,Gender,Name,Mobile Number,Father Name,Permanent Address,Temporary Address,Date of Birth,Updated Date,uid
0,0,14,98-09-16879291,B+,157-92240-30969/930555,3259.0,001.01.15,15158963.0,44.0,Ram Dhakal,EFGH7890QR,15158964.0,QR345S,Gita Dhakal, Male,Manish Maharjan,5678901235.0,Bijay Bahadur Maharjan,"Kirtipur, Kathmandu, Nepal","Thamel, Kathmandu, Nepal",1987-03-15,2024-05-28,0DT7TB9987
1,1,8,68-01-80388982,B-,406-94259-70142/249811,3253.0,001.01.09,99953421.0,43.0,Pema Tamang,ZABC3456DE,91953421.0,YZ567A,Lhamu Tamang, Male,Bikash Karki,9012345678.0,Bhagirath Bahadur Karki,"Nepalgunj, Banke, Nepal","Boudha, Kathmandu, Nepal",1998-09-09,2024-05-28,2W8FVUXYOS
2,2,0,15-05-58353205,AB+,624-93227-32431/660086,3245.0,001.01.01,11116874.0,45.0,Sita Thapa,ABCDE1234F,21216874.0,AB123C,Laxmi Thapa, Male,Ram Thapa,1234567890.0,Ram Bahadur Thapa,"Baluwatar, Kathmandu, Nepal","Gongabu, Kathmandu, Nepal",1990-01-01,2024-05-28,5OSXY4Z0ZU
3,3,6,26-03-50185868,AB+,068-37653-84341/852787,3251.0,001.01.07,77714635.0,36.0,Laxmi Shrestha,EFGH5678RS,78714635.0,ST901U,Saru Shrestha, Male,Krishna Rai,7890123456.0,Govinda Bahadur Rai,"Hetauda, Makwanpur, Nepal","Kumaripati, Lalitpur, Nepal",1996-07-07,2024-05-28,6AXKCV3HJD
4,4,9,42-08-02614125,A-,272-28301-42325/881177,3254.0,001.01.10,10103847.0,34.0,Manish KC,FGHI7890JK,10203847.0,BC890D,Lila KC, Female,Nisha Bhandari,123456789.0,Surya Bahadur Bhandari,"Dharan, Sunsari, Nepal","Kalanki, Kathmandu, Nepal",1999-10-10,2024-05-28,B5FAW6V9R2
5,5,10,15-06-41273848,O+,575-80644-44438/883300,3255.0,001.01.11,11113982.0,39.0,Nisha Khadka,LMNO1234PL,12113982.0,EF123G,Chandra Khadka, Male,Aarav Adhikari,1234567800.0,Rajan Bahadur Adhikari,"Birtamode, Jhapa, Nepal","Sanepa, Lalitpur, Nepal",2000-11-11,2024-05-28,D896Y982GL
6,6,15,17-11-63791321,AB-,697-65333-88172/166613,3260.0,001.01.16,16169852.0,53.0,Radha Pant,STUV1234WX,16169853.0,TU678V,Laxmi Pant, Female,Puja KC,6789012346.0,Ramesh Bahadur KC,"Lalitpur, Lalitpur, Nepal","Jawalakhel, Lalitpur, Nepal",1986-04-16,2024-05-28,ESSGD47XQK
7,7,5,82-09-81734599,B-,033-51347-62581/380746,3250.0,001.01.06,66698214.0,41.0,Pemba Gurung,ABCD1234PQ,67698214.0,PQ678R,Nima Gurung, Female,Radha Magar,6789012345.0,Narayan Kumar Magar,"Butwal, Rupandehi, Nepal","Chabahil, Kathmandu, Nepal",1995-06-06,2024-05-28,FUAS8EQ3U6
8,21,20,11-11-11111111,O+,46-01-75-06098,1111.0,999.99.99,,,,,,,,,Bishesh Kafle,9866347046.0,Keshab Kafle,"Pokhara, Kaski, Nepal","Gatthaghar, Bhaktapur, Nepal",2002-12-10,,HQSVLYPKVL
9,8,11,31-01-32329238,AB+,599-66155-86484/518801,3256.0,001.01.12,12122547.0,48.0,Kamal Magar,QRST5678UM,13122547.0,HI456J,Tulasa Magar, Female,Sneha Joshi,2345678902.0,Ramesh Bahadur Joshi,"Dhangadhi, Kailali, Nepal","Putalisadak, Kathmandu, Nepal",2001-12-12,2024-05-28,HW1JS6ZN1H
