Customer Code,Name,Date of Birth,National Id,Father Name,Mother Name,Permanent Address,Temporary Address,Mobile Number
21216874,Ram Thapa,1990-01-01,AB123C,Ram Bahadur Thapa,Laxmi Thapa,"Baluwatar, Kathmandu, Nepal",,1234567890
22359363,Sita Shrestha,1991-02-02,DE456F,Hari Prasad Shrestha,Radha Sharma,"Lakeside, Pokhara, Nepal","New Road, Pokhara, Nepal",2345678901
33485241,Hari Gurung,1992-03-03,GH789I,Gopal Krishna Gurung,Gita Adhikari,"Chitwan National Park, Chitwan, Nepal","Pulchowk, Lalitpur, Nepal",3456789012
45475489,Gita Tamang,1993-04-04,JK012L,Shyam Lal Tamang,Mina Rai,"Biratnagar, Morang, Nepal","Bagbazar, Kathmandu, Nepal",4567890123
56562139,Mohan Lama,1994-05-05,MN345O,Krishna Raj Lama,Kalpana Karki,"Bharatpur, Chitwan, Nepal",,5678901234
67698214,Radha Magar,1995-06-06,PQ678R,Narayan Kumar Magar,Nima Gurung,"Butwal, Rupandehi, Nepal","Chabahil, Kathmandu, Nepal",6789012345
78714635,Krishna Rai,1996-07-07,ST901U,Govinda Bahadur Rai,Saru Shrestha,"Hetauda, Makwanpur, Nepal","Kumaripati, Lalitpur, Nepal",7890123456
89847326,Sarita Sherpa,1997-08-08,VW234X,Shiva Narayan Sherpa,Nanu Maharjan,"Janakpur, Dhanusa, Nepal",,8901234567
91953421,Bikash Karki,1998-09-09,YZ567A,Bhagirath Bahadur Karki,Lhamu Tamang,"Nepalgunj, Banke, Nepal","Boudha, Kathmandu, Nepal",9012345678
10203847,Nisha Bhandari,1999-10-10,BC890D,Surya Bahadur Bhandari,Lila KC,"Dharan, Sunsari, Nepal","Kalanki, Kathmandu, Nepal",0123456789
12113982,Aarav Adhikari,2000-11-11,EF123G,Rajan Bahadur Adhikari,Chandra Khadka,"Birtamode, Jhapa, Nepal",,1234567800
13122547,Sneha Joshi,2001-12-12,HI456J,Ramesh Bahadur Joshi,Tulasa Magar,"Dhangadhi, Kailali, Nepal","Putalisadak, Kathmandu, Nepal",2345678902
13235698,Pratik Shahi,1989-01-13,KL789M,Suresh Kumar Shahi,Ganga Yadav,"Itahari, Sunsari, Nepal","Tinkune, Kathmandu, Nepal",3456789013
14247652,Anju Bhattarai,1988-02-14,NO012P,Dinesh Raj Bhattarai,Sunita Bista,"Bhaktapur, Bhaktapur, Nepal","Sinamangal, Kathmandu, Nepal",4567890124
15158964,Manish Maharjan,1987-03-15,QR345S,Bijay Bahadur Maharjan,Gita Dhakal,"Kirtipur, Kathmandu, Nepal","Thamel, Kathmandu, Nepal",5678901235
16169853,Puja KC,1986-04-16,TU678V,Ramesh Bahadur KC,Laxmi Pant,"Lalitpur, Lalitpur, Nepal","Jawalakhel, Lalitpur, Nepal",6789012346
17375246,Anil Khadka,1985-05-17,WX901Y,Rajesh Bahadur Khadka,Sarita Joshi,"Ghorahi, Dang, Nepal","Maitighar, Kathmandu, Nepal",7890123457
18383569,Rita Rimal,1984-06-18,ZA234B,Ganesh Bahadur Rimal,Meena Bhattarai,"Tansen, Palpa, Nepal",,8901234568
19294258,Pratiksha Dahal,1983-07-19,CD567E,Santosh Bahadur Dahal,Manju Gurung,"Bidur, Nuwakot, Nepal",,9012345679
20305417,Dipesh Pokharel,1982-08-20,FG890H,Shyam Sundar Pokharel,Rita Lama,"Damak, Jhapa, Nepal",,0123456790
