License Number,Blood Group,Name,Mobile Number,Father Name,Citizenship Number,Permanent Address,Temporary Address,Date of Birth
15-05-58353205,AB+,Ram Thapa,1234567890,,624-93227-32431/660086,"Baluwatar, Kathmandu, Nepal","Gongabu, Kathmandu, Nepal",1990-01-01
21-08-00435579,AB-,Sita Shrestha,2345678901,Hari Prasad Shrestha,747-42087-31417/584714,"Lakeside, Pokhara, Nepal","New Road, Pokhara, Nepal",1991-02-02
93-12-35351480,B-,Hari Gurung,3456789012,Gopal Krishna Gurung,389-45382-93886/821590,"Chitwan National Park, Chitwan, Nepal","Pulchowk, Lalitpur, Nepal",1992-03-03
65-03-68139881,A-,Gita Tamang,4567890123,,571-38785-99733/440035,"Biratnagar, Morang, Nepal","Bagbazar, Kathmandu, Nepal",1993-04-04
14-11-40056582,A+,Mohan Lama,5678901234,Krishna Raj Lama,864-17331-40021/961722,"Bharatpur, Chitwan, Nepal","Balkumari, Lalitpur, Nepal",
82-09-81734599,B-,Radha Magar,6789012345,Narayan Kumar Magar,033-51347-62581/380746,"Butwal, Rupandehi, Nepal","Chabahil, Kathmandu, Nepal",1995-06-06
26-03-50185868,AB+,Krishna Rai,7890123456,,068-37653-84341/852787,"Hetauda, Makwanpur, Nepal","Kumaripati, Lalitpur, Nepal",
98-03-72394228,A-,Sarita Sherpa,8901234567,,323-37869-95909/623481,"Janakpur, Dhanusa, Nepal","New Baneshwor, Kathmandu, Nepal",1997-08-08
68-01-80388982,B-,Bikash Karki,9012345678,Bhagirath Bahadur Karki,406-94259-70142/249811,"Nepalgunj, Banke, Nepal","Boudha, Kathmandu, Nepal",
42-08-02614125,A-,Nisha Bhandari,0123456789,Surya Bahadur Bhandari,272-28301-42325/881177,"Dharan, Sunsari, Nepal","Kalanki, Kathmandu, Nepal",1999-10-10
15-06-41273848,O+,Aarav Adhikari,1234567800,Rajan Bahadur Adhikari,575-80644-44438/883300,"Birtamode, Jhapa, Nepal","Sanepa, Lalitpur, Nepal",2000-11-11
31-01-32329238,AB+,Sneha Joshi,2345678902,,599-66155-86484/518801,"Dhangadhi, Kailali, Nepal","Putalisadak, Kathmandu, Nepal",2001-12-12
73-02-11496212,O-,Pratik Shahi,3456789013,Suresh Kumar Shahi,371-38746-28131/634277,"Itahari, Sunsari, Nepal","Tinkune, Kathmandu, Nepal",1989-01-13
94-08-09289547,AB-,Anju Bhattarai,4567890124,,506-21915-16175/214975,"Bhaktapur, Bhaktapur, Nepal","Sinamangal, Kathmandu, Nepal",1988-02-14
98-09-16879291,B+,Manish Maharjan,5678901235,,157-92240-30969/930555,"Kirtipur, Kathmandu, Nepal","Thamel, Kathmandu, Nepal",
17-11-63791321,AB-,Puja KC,6789012346,Ramesh Bahadur KC,697-65333-88172/166613,"Lalitpur, Lalitpur, Nepal","Jawalakhel, Lalitpur, Nepal",1986-04-16
71-03-35575299,AB-,Anil Khadka,7890123457,,395-60019-88104/590785,"Ghorahi, Dang, Nepal","Maitighar, Kathmandu, Nepal",
68-10-56792613,B-,Rita Rimal,8901234568,Ganesh Bahadur Rimal,542-42953-82512/112038,"Tansen, Palpa, Nepal","Buddhanagar, Kathmandu, Nepal",1984-06-18
28-09-97969690,AB+,Pratiksha Dahal,9012345679,,697-25014-99353/663054,"Bidur, Nuwakot, Nepal","Naxal, Kathmandu, Nepal",1983-07-19
89-04-95690392,A-,Dipesh Pokharel,0123456790,Shyam Sundar Pokharel,769-44973-94012/456699,"Damak, Jhapa, Nepal","Gaushala, Kathmandu, Nepal",
