Name,Mobile Number,Electricity Bill ID,SC Number,Date of Birth,Father Name
Ram Thapa,1234567890,3245,001.01.01,1990-01-01,Ram Bahadur Thapa
Sita Shrestha,2345678901,3246,001.01.02,1991-02-02,Hari Prasad Shrestha
Hari Gurung,3456789012,3247,001.01.03,1992-03-03,Gopal Krishna Gurung
Gita Tamang,4567890123,3248,001.01.04,1993-04-04,Shyam Lal Tamang
Mohan Lama,5678901234,3249,001.01.05,1994-05-05,Krishna Raj Lama
Radha Magar,6789012345,3250,001.01.06,1995-06-06,Narayan Kumar Magar
Krishna Rai,7890123456,3251,001.01.07,1996-07-07,Govinda Bahadur Rai
Sarita Sherpa,8901234567,3252,001.01.08,1997-08-08,Shiva Narayan Sherpa
Bikash Karki,9012345678,3253,001.01.09,1998-09-09,Bhagirath Bahadur Karki
Nisha Bhandari,0123456789,3254,001.01.10,1999-10-10,Surya Bahadur Bhandari
Aarav Adhikari,1234567800,3255,001.01.11,2000-11-11,Rajan Bahadur Adhikari
Sneha Joshi,2345678902,3256,001.01.12,2001-12-12,Ramesh Bahadur Joshi
Pratik Shahi,3456789013,3257,001.01.13,1989-01-13,Suresh Kumar Shahi
Anju Bhattarai,4567890124,3258,001.01.14,1988-02-14,Dinesh Raj Bhattarai
Manish Maharjan,5678901235,3259,001.01.15,1987-03-15,Bijay Bahadur Maharjan
Puja KC,6789012346,3260,001.01.16,1986-04-16,Ramesh Bahadur KC
Anil Khadka,7890123457,3261,001.01.17,1985-05-17,Rajesh Bahadur Khadka
Rita Rimal,8901234568,3262,001.01.18,1984-06-18,Ganesh Bahadur Rimal
Pratiksha Dahal,9012345679,3263,001.01.19,1983-07-19,Santosh Bahadur Dahal
Dipesh Pokharel,0123456790,3264,001.01.20,1982-08-20,Shyam Sundar Pokharel
